word,reading,meaning,level
彼処,あそこ,genitals / private parts / nether regions,
彼の,あの,that / those / the,
あんな,あんな,that sort of / that kind of / like that,
いざこざ,いざこざ,trouble / quarrel / difficulties,
いそいそ,いそいそ,cheerfully / joyously / joyfully,
うずうず,うずうず,itching to do something / impatient / sorely tempted,
うとうと,うとうと,falling into a doze / dozing off / nodding off,
畝り,うねり,undulation / winding / meandering,
うんこ,うんこ,poop / poo / faeces,
ウンチ,うんち,poo / poop / doo-doo,
ええ,ええ,good,
おしっこ,おしっこ,wee-wee / pee-pee / number one,
おっさん,おっさん,middle-aged man,
おっぱい,おっぱい,boobs / boobies / breasts,
オドオド,おどおど,timidly / nervously / hesitantly,
おなら,おなら,wind / gas / fart,
おろおろ,おろおろ,in confusion / in a fluster / in bewilderment,
お化け,おばけ,ghost / apparition,
お客様,おきゃくさま,guest / visitor,
お兄さん,おにいさん,older brother / elder brother,
お絞り,おしぼり,"wet towel (supplied at table) / hot, moistened hand towel",
お産,おさん,(giving) birth / childbirth / delivery,
お仕舞い,おしまい,the end / closing / being done for,
お姉さん,おねえさん,older sister / elder sister,
お子様,おこさま,(another's) child,
お守り,おまもり,charm / amulet / talisman,
お手盛り,おてもり,making arbitrary decisions which benefit oneself / self-approved plan,
お手伝いさん,おてつだいさん,maid,
お巡りさん,おまわりさん,police officer,
お世辞,おせじ,flattery / compliment,
お宅,おたく,your house / your home / your family,
お知らせ,おしらせ,notice / notification,
お天気,おてんき,weather,
お凸,おでこ,brow / forehead,
お返し,おかえし,return gift / return favour,
お墨付き,おすみつき,certificate / certified document / authorization,
お話中,おはなしちゅう,busy (phone),
カチカチ,かちかち,dry and hard / (frozen) stiff,
カッと,かっと,flaring up / burning hotly / suddenly becoming bright,
がさがさ,がさがさ,rustling,
ガタガタ,がたがた,rattling / clattering,
がぶがぶ,がぶがぶ,sloshing around (of liquid in one's stomach),
がやがや,がやがや,noisily (crowd of people talking) / clamorously / in a hubbub,
キョロキョロ,きょろきょろ,(looking around) restlessly / (looking) all around / goggling,
キラキラ,きらきら,glittering / sparkling / glistening,
刻々,ぎざぎざ,notches / serration / indentation,
ぎゅうぎゅう,ぎゅうぎゅう,packing in tightly / cramming / squeezing,
ぎゅっと,ぎゅっと,"tightly (hold, squeeze, etc.) / firmly / forcefully (e.g. push)",
ぎょっと,ぎょっと,being startled,
ギラギラ,ぎらぎら,glaringly / dazzlingly / blazingly,
限り限り,ぎりぎり,just barely / only just / at the very limit,
くしゃくしゃ,くしゃくしゃ,crumpled / rumpled / wrinkled,
くたくた,くたくた,exhausted / worn out / dead tired,
くどくど,くどくど,"tediously (explain, complain, etc.) / repeatedly / persistently",
くよくよ,くよくよ,to fret (over) / to brood (about) / to mope,
くるくる,くるくる,whirling / revolving / spinning,
愚図愚図,ぐずぐず,slowly / tardily / dawdling,
ぐったり,ぐったり,limply / wearily / listlessly,
グラグラ,ぐらぐら,wobbling / tottering / shaking,
けじめ,けじめ,"distinction (e.g. between right and wrong, public and private, etc.) / responsibility (taking, acknowledging)",
こう言う,こういう,such / this sort of / like this,
こそこそ,こそこそ,sneakily / secretly / stealthily,
この辺,このへん,this area / around here,
これ迄,これまで,so far / up to now / hitherto,
コロコロ,ころころ,chubby (and cute) / plump / round,
こんな,こんな,this sort of / this kind of / like this,
ゴミ箱,ごみばこ,trash can / garbage can / rubbish bin,
ゴロゴロ,ごろごろ,"rumbling (of thunder, one's stomach, etc.) / grumbling / growling",
ご苦労様,ごくろうさま,thank you (for your hard work) / I appreciate your efforts,
さらさら,さらさら,"smooth and dry (hair, sand, etc.) / silky / powdery (e.g. snow)",
ザラザラ,ざらざら,"rough (touch, voice, etc.) / coarse / gritty",
ざわざわ,ざわざわ,noisily (from many people talking) / in a commotion,
しとしと,しとしと,gently (raining) / drizzling,
吃逆,しゃっくり,hiccup / hiccough,
しょんぼり,しょんぼり,downheartedly / dejectedly / dispiritedly,
凝乎と,じっと,"motionlessly (e.g. stand, wait) / (be) still",
じめじめ,じめじめ,damp / humid / wet,
じゃが芋,じゃがいも,potato (Solanum tuberosum),
擦れ擦れ,すれすれ,grazing / skimming / almost touching,
ズキズキ,ずきずき,throbbingly (of pain),
ずるずる,ずるずる,loose / lax / inconclusive,
せかせか,せかせか,restlessly / hurriedly / agitatedly,
せっかち,せっかち,hasty / impatient / restless,
そう,そう,appearing that / seeming that / looking like,
其の,その,that / the,
その上,そのうえ,in addition / furthermore,
そよ風,そよかぜ,gentle breeze / soft wind / breath of air,
そわそわ,そわそわ,restlessly / nervously / uneasily,
そんな,そんな,such / that sort of / that kind of,
ぞくぞく,ぞくぞく,shivering / feeling chilly,
たった,たった,only / merely / but,
だらだら,だらだら,in drops / dripping / trickling,
ちぐはぐ,ちぐはぐ,mismatched / odd / irregular,
ちらちら,ちらちら,"falling lightly (e.g. snow, petals, confetti) / fluttering",
ちんちん,ちんちん,penis,
チンピラ,ちんぴら,(young) hoodlum / delinquent boy / delinquent girl,
躑躅,つつじ,azalea / rhododendron,
つるつる,つるつる,smooth / shiny / slick,
とろ,とろ,fatty cut (esp. of tuna belly),
飛んだ,とんだ,unexpected / unlikely / strange,
とんとん,とんとん,even / equal / break-even,
どう言う,どういう,what kind of / what sort of / what,
ドキッと,どきっと,being startled / getting a shock,
ドキドキ,どきどき,to beat fast (of one's heart) / to throb / to pound,
ドタバタ,どたばた,noisily (running around) / with heavy feet,
どの様,どのよう,what sort / what kind,
どの位,どのくらい,how long / how far / how much,
泥々,どろどろ,viscous / mushy / pulpy,
どんな,どんな,what kind of / what sort of / what,
等閑,なおざり,neglect / negligence / disregard,
ニヤニヤ,にやにや,grinning / smirking,
