word,reading,meaning,level
彼処,あそこ,생식기,
彼の,あの,저것,
あんな,あんな,그런 종류의,
いざこざ,いざこざ,곤란,
いそいそ,いそいそ,명랑하게,
うずうず,うずうず,무엇을 하고 싶어 안달하는,
うとうと,うとうと,깜빡 졸다,
畝り,うねり,물결 모양,
うんこ,うんこ,똥,
ウンチ,うんち,똥,
ええ,ええ,좋은,
おしっこ,おしっこ,오줌,
おっさん,おっさん,중년 남자,
おっぱい,おっぱい,가슴(여성의),
オドオド,おどおど,소심하게,
おなら,おなら,바람,
おろおろ,おろおろ,혼란스러운 상태로,
お化け,おばけ,유령,
お客様,おきゃくさま,손님,
お兄さん,おにいさん,형,
お絞り,おしぼり,물수건(식탁에 비치된),
お産,おさん,출산,
お仕舞い,おしまい,끝,
お姉さん,おねえさん,누나,
お子様,おこさま,남의 아이,
お守り,おまもり,매력,
お手盛り,おてもり,제멋대로 결정함,
お手伝いさん,おてつだいさん,하녀,
お巡りさん,おまわりさん,경찰관,
お世辞,おせじ,아첨,
お宅,おたく,당신 집,
お知らせ,おしらせ,통지,
お天気,おてんき,날씨,
お凸,おでこ,이마,
お返し,おかえし,답례품,
お墨付き,おすみつき,증명서,
お話中,おはなしちゅう,통화 중,
カチカチ,かちかち,바삭바삭한,
カッと,かっと,불이 확 타오름,
がさがさ,がさがさ,바스락거림,
ガタガタ,がたがた,덜컹거림,
がぶがぶ,がぶがぶ,속에서 액체가 출렁임,
がやがや,がやがや,시끄럽게(사람들 소리),
キョロキョロ,きょろきょろ,안절부절 못하며 둘러봄,
キラキラ,きらきら,반짝임,
刻々,ぎざぎざ,톱니,
ぎゅうぎゅう,ぎゅうぎゅう,꽉 채워 넣음,
ぎゅっと,ぎゅっと,꽉 잡음,
ぎょっと,ぎょっと,깜짝 놀람,
ギラギラ,ぎらぎら,눈에 띄게,
限り限り,ぎりぎり,간신히,
くしゃくしゃ,くしゃくしゃ,구겨진,
くたくた,くたくた,기진맥진한,
くどくど,くどくど,지루하게,
くよくよ,くよくよ,걱정하다,
くるくる,くるくる,빙글빙글 도는,
愚図愚図,ぐずぐず,천천히,
ぐったり,ぐったり,축 늘어진,
グラグラ,ぐらぐら,흔들리는,
けじめ,けじめ,구별,
こう言う,こういう,그런,
こそこそ,こそこそ,몰래,
この辺,このへん,이 지역,
これ迄,これまで,지금까지,
コロコロ,ころころ,통통한,
こんな,こんな,이런 종류의,
ゴミ箱,ごみばこ,쓰레기통,
ゴロゴロ,ごろごろ,우르릉거리는 소리,
ご苦労様,ごくろうさま,수고했어요,
さらさら,さらさら,매끄럽고 건조한,
ザラザラ,ざらざら,거친,
ざわざわ,ざわざわ,시끄럽게,
しとしと,しとしと,부드럽게(비가 내림),
吃逆,しゃっくり,딸꾹질,
しょんぼり,しょんぼり,낙심하여,
凝乎と,じっと,움직이지 않고,
じめじめ,じめじめ,축축한,
じゃが芋,じゃがいも,감자,
擦れ擦れ,すれすれ,방목하는,
ズキズキ,ずきずき,욱신거리는,
ずるずる,ずるずる,느슨한,
せかせか,せかせか,안절부절못하는,
せっかち,せっかち,성급한,
そう,そう,~인 것처럼 보이는,
其の,その,저것,
その上,そのうえ,게다가,
そよ風,そよかぜ,산들바람,
そわそわ,そわそわ,안절부절못하는,
そんな,そんな,그런,
ぞくぞく,ぞくぞく,떨리는,
たった,たった,오직,
だらだら,だらだら,물방울로,
ちぐはぐ,ちぐはぐ,어울리지 않는,
ちらちら,ちらちら,가볍게 떨어지는,
ちんちん,ちんちん,음경,
チンピラ,ちんぴら,(젊은) 불량배,
躑躅,つつじ,진달래,
つるつる,つるつる,매끄러운,
とろ,とろ,기름진 부위,
飛んだ,とんだ,예상치 못한,
とんとん,とんとん,심지어,
どう言う,どういう,어떤 종류의,
ドキッと,どきっと,깜짝 놀람,
ドキドキ,どきどき,심장이 빠르게 뛰다,
ドタバタ,どたばた,떠들며 뛰어다님,
どの様,どのよう,어떤 종류,
どの位,どのくらい,얼마나 오래,
泥々,どろどろ,끈적거리는,
どんな,どんな,어떤 종류의,
等閑,なおざり,무시하다,
ニヤニヤ,にやにや,활짝 웃음,
ヌルヌル,ぬるぬる,미끈거리는,
ねた,ねた,자료,
薔薇薔薇,ばらばら,흩어진,
バリバリ,ばりばり,뻣뻣한,
パッと,ぱっと,눈에 띄게,
只管,ひたすら,열심히,
ひっそり,ひっそり,조용한 곳,
ひらひら,ひらひら,펄럭임,
ビクビク,びくびく,두려워함,
びしょびしょ,びしょびしょ,흠뻑 젖은,
ビリビリ,びりびり,찢어지다,
ピカピカ,ぴかぴか,반짝이며,
ピリピリ,ぴりぴり,쏘는 듯이,
ぴんぴん,ぴんぴん,활기찬,
ぶっきら棒,ぶっきらぼう,간결한,
ぶつぶつ,ぶつぶつ,꿀꿀거림,
ぶるぶる,ぶるぶる,떨림,
ヘトヘト,へとへと,완전히 지친,
ベタベタ,べたべた,끈적한,
ペコペコ,ぺこぺこ,몹시 배고픈,
ペラペラ,ぺらぺら,유창하게,
ほんのり,ほんのり,약간,
ぼーっと,ぼーっと,멍한,
惚け,ぼけ,바보,
ボロボロ,ぼろぼろ,닳아 해진,
ぽかぽか,ぽかぽか,쾌적하게 따뜻한,
ポタポタ,ぽたぽた,뚝뚝 떨어지는,
ムカムカ,むかむか,몸이 안 좋은,
むっつり,むっつり,시무룩하게,
持て成し,もてなし,환대,
ヤクザ,やくざ,야쿠자,
やり繰り,やりくり,임시변통,
やり取り,やりとり,주고받음,
やり方,やりかた,방법,
ゆっくり,ゆっくり,천천히,
揺ら揺ら,ゆらゆら,흔들림,
ヨチヨチ,よちよち,비틀거리며,
よろよろ,よろよろ,비틀거림,
列記,れっき,목록,
わくわく,わくわく,흥분하다,
アーク,あーく,활 모양,
アーケード,あーけーど,아케이드 거리,
アースデー,あーすでー,지구의 날,
アーチ,あーち,아치,
アーチェリー,あーちぇりー,양궁,
アーティスト,あーてぃすと,예술가,
アート,あーと,예술,
アーバン,あーばん,도시의,
アーム,あーむ,팔,
アーモンド,あーもんど,아몬드,
アールデコ,あーるでこ,아르데코 양식,
アイシャドウ,あいしゃどう,아이섀도,
アイス,あいす,얼음,
アイゼン,あいぜん,등산화 금속 핀,
アイテム,あいてむ,항목,
アイドル,あいどる,아이돌 가수,
アイヌ,あいぬ,아이누족,
アイボリー,あいぼりー,상아,
アイライン,あいらいん,아이라이너,
アイリス,あいりす,홍채,
アウトドア,あうとどあ,야외,
アウトバーン,あうとばーん,아우토반(고속도로),
アウトレット,あうとれっと,아울렛 매장,
アウトロー,あうとろー,무법자,
アカシア,あかしあ,아카시아,
アカデミー,あかでみー,학원,
アカデミズム,あかでみずむ,아카데미즘,
アカデミック,あかでみっく,학문의,
アキレス腱,あきれすけん,아킬레스건 약점,
アクアトロン,あくあとろん,수생 환경 인공 조절,
アクシデント,あくしでんと,사고,
アクション,あくしょん,행동,
アクセス,あくせす,접근(특히 대중교통 이용),
アクティブ,あくてぃぶ,활동적인,
アクトレス,あくとれす,여배우,
アクリル,あくりる,아크릴(섬유 또는 수지),
アクロバット,あくろばっと,곡예사,
アグレッシブ,あぐれっしぶ,공격적인,
アコード,あこーど,합의,
アシスタント,あしすたんと,조수,
アシスト,あしすと,지원,
アジ,あじ,동요,
亜細亜,あじあ,아시아,
アジト,あじと,은신처,
アスパラガス,あすぱらがす,아스파라거스,
アスピーテ,あすぴーて,아스파이트,
アスピリン,あすぴりん,아스피린,
アスファルト,あすふぁると,아스팔트,
アスベスト,あすべすと,석면,
アスリート,あすりーと,운동선수,
アスレチック,あすれちっく,육상경기,
アセス,あせす,평가,
アセスメント,あせすめんと,평가,
アタック,あたっく,공격(어려운 과제),
アダプター,あだぷたー,어댑터,
アダルト,あだると,성인,
アチーブ,あちーぶ,성취도 시험,
アット,あっと,골뱅이 기호,
アッパー,あっぱー,위쪽,
アップル,あっぷる,사과,
アトム,あとむ,원자,
アトリエ,あとりえ,화가 작업실,
アド,あど,광고,
アドバイザー,あどばいざー,조언자,
アドバイス,あどばいす,조언,
アドバルーン,あどばるーん,광고 풍선,
アドリブ,あどりぶ,즉흥 연설,
アドレス,あどれす,주소,
アドレナリン,あどれなりん,아드레날린,
アナ,あな,아나운서,
アナーキー,あなーきー,무정부 상태,
アナウンス,あなうんす,방송 안내,
アナリスト,あなりすと,분석가,
アナログ,あなろぐ,아날로그,
アニーリング,あにーりんぐ,풀림 처리,
アニマル,あにまる,동물,
アニメ,あにめ,애니메이션,
アバウト,あばうと,대략적인 수,
アパッチ,あぱっち,아파치족,
アビタシオン,あびたしおん,거주지,
アピール,あぴーる,호소,
アフェア,あふぇあ,사건,
アフター,あふたー,사교 활동,
アフタヌーン,あふたぬーん,오후,
アブサン,あぶさん,압생트 술,
アベック,あべっく,연속적인,
アベニュー,あべにゅー,대로,
アベレージ,あべれーじ,평균,
アペタイザー,あぺたいざー,전채 요리,
