明白,めいはく,obvious / clear / plain,
彼処,あそこ,genitals / private parts / nether regions,
あっさり,あっさり,easily / readily / quickly,
彼の,あの,that / those / the,
あべこべ,あべこべ,contrary / opposite / inverse,
あやふや,あやふや,uncertain / indefinite / vague,
あんな,あんな,that sort of / that kind of / like that,
いざこざ,いざこざ,trouble / quarrel / difficulties,
いそいそ,いそいそ,cheerfully / joyously / joyfully,
うずうず,うずうず,itching to do something / impatient / sorely tempted,
うっかり,うっかり,carelessly / thoughtlessly / inadvertently,
うとうと,うとうと,falling into a doze / dozing off / nodding off,
畝り,うねり,undulation / winding / meandering,
うろうろ,うろうろ,to loiter / to drift / to hang about doing nothing,
うんこ,うんこ,poop / poo / faeces,
うんざり,うんざり,tedious / boring / being fed up with,
ウンチ,うんち,poo / poop / doo-doo,
おしっこ,おしっこ,wee-wee / pee-pee / number one,
おっさん,おっさん,middle-aged man,
おっぱい,おっぱい,boobs / boobies / breasts,
オドオド,おどおど,timidly / nervously / hesitantly,
おなら,おなら,wind / gas / fart,
おろおろ,おろおろ,in confusion / in a fluster / in bewilderment,
お化け,おばけ,ghost / apparition,
お菓子,おかし,confections / sweets / candy,
お客様,おきゃくさま,guest / visitor,
お金,おかね,money,
お兄さん,おにいさん,older brother / elder brother,
お絞り,おしぼり,"wet towel (supplied at table) / hot, moistened hand towel",
お参り,おまいり,"visit (to a shrine, grave, etc.) / worship",
お産,おさん,(giving) birth / childbirth / delivery,
お仕舞い,おしまい,the end / closing / being done for,
お使い,おつかい,errand / mission / going on an errand,
お姉さん,おねえさん,older sister / elder sister,
お子様,おこさま,(another's) child,
お辞儀,おじぎ,bow / bowing,
お守り,おまもり,charm / amulet / talisman,
お手上げ,おてあげ,being done for / giving up / being in a hopeless situation,
お手盛り,おてもり,making arbitrary decisions which benefit oneself / self-approved plan,
お手洗い,おてあらい,toilet / restroom / lavatory,
お手伝いさん,おてつだいさん,maid,
お巡りさん,おまわりさん,police officer,
お嬢さん,おじょうさん,(another's) daughter,
お世辞,おせじ,flattery / compliment,
お前,おまえ,"before (a god, nobleman, etc.) / in front of",
お祖父さん,おじいさん,grandfather,
お祖母さん,おばあさん,grandmother,
お袋,おふくろ,(one's) mother,
お宅,おたく,your house / your home / your family,
お知らせ,おしらせ,notice / notification,
お茶,おちゃ,tea (esp. green or barley),
お喋り,おしゃべり,chattering / talk / idle talk,
お天気,おてんき,weather,
お土産,おみやげ,local specialty or souvenir bought as a gift while traveling (travelling),
お凸,おでこ,brow / forehead,
お父さん,おとうさん,father / dad / papa,
お腹,おなか,belly / abdomen / stomach,
お返し,おかえし,return gift / return favour,
お母さん,おかあさん,mother / mom / mum,
お墨付き,おすみつき,certificate / certified document / authorization,
お話中,おはなしちゅう,busy (phone),
お洒落,おしゃれ,stylish / fashionable / trendy,
カチカチ,かちかち,dry and hard / (frozen) stiff,
カッと,かっと,flaring up / burning hotly / suddenly becoming bright,
がさがさ,がさがさ,rustling,
ガタガタ,がたがた,rattling / clattering,
がっかり,がっかり,to be disappointed / to be dejected / to be downhearted,
がっくり,がっくり,heartbroken / crestfallen / dejected,
がっしり,がっしり,firmly / solidly / sturdily,
がっちり,がっちり,solid / robust / well-built,
がぶがぶ,がぶがぶ,sloshing around (of liquid in one's stomach),
がやがや,がやがや,noisily (crowd of people talking) / clamorously / in a hubbub,
きちっと,きちっと,exactly / perfectly,
